log_id,user_credential_id,login_timestamp,device_info,ip_address,location
1,22,2024-08-03 17:25:08,Windows,22.13.219.130,East Joseph
2,38,2021-07-26 00:44:19,Windows,71.10.135.21,West Craig
3,257,2021-09-06 07:57:39,Android,36.87.116.86,South Jamesside
4,180,2021-08-17 13:45:19,iOS,184.104.188.92,Sherriside
5,404,2020-07-27 15:22:08,Android,161.22.146.102,Dixonmouth
6,5,2020-06-01 19:57:15,Android,140.111.116.201,Anthonyville
7,301,2023-02-20 10:55:16,iOS,81.118.65.110,South Gerald
8,86,2022-04-08 04:36:02,Mac,27.53.84.44,South Justin
9,425,2022-03-24 21:40:50,iOS,119.109.179.12,Port Henryhaven
10,197,2022-08-25 23:25:54,Windows,203.186.57.94,South Lisashire
11,67,2024-06-06 04:52:09,Linux,28.91.243.182,Davisborough
12,381,2024-11-16 21:43:01,Windows,32.76.46.77,Jillshire
13,255,2020-08-23 18:02:46,Linux,147.28.87.125,Port Kevinborough
14,43,2022-11-06 05:41:16,Windows,201.12.217.70,Lake Matthew
15,53,2023-02-27 16:08:31,Android,107.39.90.254,Kimberlymouth
16,77,2021-12-14 15:11:34,Windows,7.250.186.207,Cookhaven
17,489,2024-01-07 03:15:47,Linux,105.111.148.151,Campbellborough
18,280,2024-01-11 14:26:59,Linux,184.66.125.240,Ramosstad
19,426,2020-04-03 04:54:43,Linux,97.187.222.100,Timothyfurt
20,396,2021-10-05 02:13:20,Windows,40.2.122.34,East Jennyside
21,340,2022-05-27 15:09:14,iOS,54.49.40.209,Shannonview
22,35,2024-10-08 17:05:14,Mac,102.166.75.50,South Mary
23,496,2023-05-31 22:00:31,Linux,63.14.249.112,South Kimberlyville
24,92,2023-03-31 14:11:07,iOS,96.30.188.22,New Hannahville
25,175,2020-05-01 18:58:17,Windows,43.36.86.92,Danielshaven
26,253,2022-07-11 16:40:26,Windows,210.204.185.124,Glenmouth
27,251,2020-03-19 20:22:30,Linux,25.55.99.126,New Joseph
28,492,2020-06-13 19:28:12,Linux,180.192.69.36,Reevesland
29,489,2022-11-09 15:19:39,Android,99.50.59.100,Earlton
30,476,2021-07-03 15:49:32,Linux,71.161.92.234,Lake Derekside
31,98,2022-11-21 16:26:08,Mac,204.127.37.97,Erikashire
32,344,2023-11-12 09:10:45,Windows,161.137.91.248,Port Jessica
33,146,2021-04-14 02:01:21,Mac,25.16.253.103,East Danielle
34,429,2021-04-06 09:09:08,Android,7.143.232.56,Port Ashleyville
35,376,2023-09-01 00:57:14,iOS,111.125.90.30,Michellestad
36,286,2024-06-06 07:51:43,Mac,47.209.97.51,West Matthewside
37,260,2020-05-04 21:09:45,Windows,214.23.86.242,West Jose
